client_id,datestamp,product,quantity,price
1,2023-11-24,Product_3,2,73.91
1,2023-11-24,Product_0,5,9.61
1,2023-11-24,Product_8,4,4.15
1,2023-11-24,Product_7,1,22.65
1,2023-11-24,Product_16,5,60.6
2,2023-10-15,Product_6,4,22.82
2,2023-10-15,Product_17,5,28.54
3,2023-01-04,Product_5,2,22.32
3,2023-01-04,Product_13,3,11.12
3,2023-01-04,Product_10,4,10.57
3,2023-01-04,Product_8,3,60.77
4,2023-01-23,Product_14,1,55.65
4,2023-01-23,Product_17,5,88.66
4,2023-01-23,Product_3,3,58.16
4,2023-01-23,Product_12,1,5.54
5,2023-04-27,Product_9,1,38.63
5,2023-04-27,Product_2,4,63.93
5,2023-04-27,Product_7,3,17.1
6,2023-07-01,Product_6,5,73.18
6,2023-07-01,Product_8,2,46.76
6,2023-07-01,Product_2,3,98.96
6,2023-07-01,Product_5,5,22.74
7,2023-06-16,Product_1,3,40.72
7,2023-06-16,Product_7,1,21.89
7,2023-06-16,Product_19,5,87.76
8,2023-06-11,Product_6,2,27.22
8,2023-06-11,Product_15,2,74.75
8,2023-06-11,Product_12,5,27.01
8,2023-06-11,Product_14,5,43.41
9,2023-10-26,Product_12,3,22.71
10,2023-03-12,Product_16,1,86.25
10,2023-03-12,Product_15,2,63.12
10,2023-03-12,Product_2,4,60.04
11,2023-07-17,Product_12,1,68.49
11,2023-07-17,Product_14,5,75.34
11,2023-07-17,Product_16,3,12.04
11,2023-07-17,Product_8,4,16.66
11,2023-07-17,Product_0,1,95.43
12,2023-05-15,Product_16,1,87.18
12,2023-05-15,Product_5,3,84.33
12,2023-05-15,Product_19,5,61.29
13,2023-03-20,Product_11,5,95.4
13,2023-03-20,Product_5,5,91.93
14,2023-11-03,Product_10,3,87.99
14,2023-11-03,Product_15,3,24.71
14,2023-11-03,Product_0,2,87.92
14,2023-11-03,Product_3,1,9.48
15,2023-09-06,Product_2,5,17.35
15,2023-09-06,Product_17,5,87.37
15,2023-09-06,Product_4,4,96.47
15,2023-09-06,Product_18,5,75.77
15,2023-09-06,Product_15,2,71.58
16,2023-07-24,Product_11,2,23.25
16,2023-07-24,Product_14,3,3.08
16,2023-07-24,Product_16,5,23.78
16,2023-07-24,Product_18,2,1.71
16,2023-07-24,Product_3,1,23.67
17,2023-01-17,Product_10,5,24.56
17,2023-01-17,Product_2,4,22.21
18,2023-03-09,Product_18,2,78.68
18,2023-03-09,Product_19,4,19.85
18,2023-03-09,Product_15,1,66.24
19,2023-07-01,Product_13,1,7.0
19,2023-07-01,Product_19,3,80.26
19,2023-07-01,Product_14,1,25.62
19,2023-07-01,Product_1,2,54.09
20,2023-03-13,Product_13,4,25.73
20,2023-03-13,Product_5,1,44.87
20,2023-03-13,Product_8,5,10.69
21,2023-11-30,Product_17,2,41.23
21,2023-11-30,Product_0,4,22.16
21,2023-11-30,Product_2,4,90.34
21,2023-11-30,Product_7,2,38.52
22,2023-07-19,Product_8,2,19.8
22,2023-07-19,Product_14,2,96.9
22,2023-07-19,Product_9,5,73.84
22,2023-07-19,Product_13,1,75.05
22,2023-07-19,Product_15,1,5.96
23,2023-09-02,Product_16,2,6.63
23,2023-09-02,Product_19,5,8.93
24,2023-04-06,Product_2,1,94.22
24,2023-04-06,Product_19,5,25.38
24,2023-04-06,Product_7,5,4.93
24,2023-04-06,Product_12,1,42.5
25,2023-10-26,Product_18,2,67.3
25,2023-10-26,Product_16,3,24.63
25,2023-10-26,Product_10,4,13.96
25,2023-10-26,Product_8,3,46.27
26,2023-02-07,Product_0,5,22.1
26,2023-02-07,Product_14,3,14.11
26,2023-02-07,Product_3,3,88.21
26,2023-02-07,Product_2,2,37.58
27,2023-03-22,Product_14,5,30.64
27,2023-03-22,Product_17,1,93.95
27,2023-03-22,Product_9,2,27.18
27,2023-03-22,Product_16,1,74.5
27,2023-03-22,Product_0,2,27.96
27,2023-03-22,Product_10,5,21.85
28,2023-06-25,Product_6,3,51.04
29,2023-05-09,Product_1,4,83.11
29,2023-05-09,Product_2,1,1.35
30,2023-03-08,Product_8,1,8.45
30,2023-03-08,Product_5,2,55.01
30,2023-03-08,Product_14,3,58.67
30,2023-03-08,Product_13,2,43.55
30,2023-03-08,Product_0,1,31.52
31,2023-01-21,Product_11,3,78.23
31,2023-01-21,Product_6,4,97.41
31,2023-01-21,Product_7,2,92.65
31,2023-01-21,Product_3,2,86.6
32,2023-04-01,Product_13,2,73.92
