itemset,support
('Product_12', 'Product_5'),0.0410
('Product_12', 'Product_4'),0.0394
('Product_0', 'Product_7'),0.0384
('Product_14', 'Product_7'),0.0367
('Product_1', 'Product_13'),0.0399
('Product_4', 'Product_7'),0.0388
('Product_11', 'Product_5'),0.0382
('Product_0', 'Product_11'),0.0354
('Product_17', 'Product_2'),0.0410
('Product_12', 'Product_14'),0.0408
('Product_16', 'Product_19'),0.0376
('Product_18', 'Product_2'),0.0396
('Product_15', 'Product_7'),0.0421
('Product_13', 'Product_7'),0.0388
('Product_0', 'Product_13'),0.0409
('Product_10', 'Product_13'),0.0389
('Product_0', 'Product_10'),0.0393
('Product_0', 'Product_18'),0.0368
('Product_5', 'Product_9'),0.0409
('Product_1', 'Product_5'),0.0385
('Product_7', 'Product_8'),0.0387
('Product_2', 'Product_6'),0.0390
('Product_16', 'Product_8'),0.0415
('Product_17', 'Product_9'),0.0387
('Product_1', 'Product_4'),0.0385
('Product_2', 'Product_9'),0.0411
('Product_12', 'Product_2'),0.0387
('Product_18', 'Product_9'),0.0376
('Product_19', 'Product_5'),0.0397
('Product_6', 'Product_8'),0.0365
('Product_0', 'Product_5'),0.0387
('Product_10', 'Product_5'),0.0356
('Product_15', 'Product_18'),0.0402
('Product_16', 'Product_3'),0.0424
('Product_1', 'Product_14'),0.0405
('Product_16', 'Product_17'),0.0418
('Product_14', 'Product_5'),0.0375
('Product_19', 'Product_4'),0.0386
('Product_12', 'Product_15'),0.0373
('Product_0', 'Product_4'),0.0418
('Product_14', 'Product_4'),0.0383
('Product_16', 'Product_6'),0.0406
('Product_17', 'Product_19'),0.0371
('Product_10', 'Product_4'),0.0398
('Product_7', 'Product_9'),0.0390
('Product_4', 'Product_5'),0.0389
('Product_16', 'Product_9'),0.0425
('Product_11', 'Product_2'),0.0347
('Product_12', 'Product_17'),0.0391
('Product_5', 'Product_8'),0.0378
('Product_1', 'Product_19'),0.0409
('Product_18', 'Product_19'),0.0382
('Product_12', 'Product_9'),0.0399
('Product_17', 'Product_8'),0.0377
('Product_11', 'Product_15'),0.0398
('Product_2', 'Product_8'),0.0408
('Product_10', 'Product_14'),0.0398
('Product_15', 'Product_5'),0.0402
('Product_13', 'Product_5'),0.0392
('Product_6', 'Product_9'),0.0393
('Product_11', 'Product_4'),0.0392
('Product_18', 'Product_8'),0.0389
('Product_3', 'Product_8'),0.0417
('Product_13', 'Product_4'),0.0366
('Product_2', 'Product_7'),0.0398
('Product_1', 'Product_2'),0.0372
('Product_14', 'Product_19'),0.0381
('Product_10', 'Product_19'),0.0369
('Product_5', 'Product_6'),0.0395
('Product_8', 'Product_9'),0.0398
('Product_12', 'Product_19'),0.0375
('Product_17', 'Product_3'),0.0410
('Product_2', 'Product_3'),0.0417
('Product_11', 'Product_14'),0.0402
('Product_17', 'Product_6'),0.0396
('Product_1', 'Product_15'),0.0380
('Product_13', 'Product_14'),0.0385
('Product_19', 'Product_2'),0.0381
('Product_18', 'Product_3'),0.0395
('Product_1', 'Product_17'),0.0417
('Product_0', 'Product_2'),0.0386
('Product_10', 'Product_2'),0.0392
('Product_14', 'Product_2'),0.0397
('Product_12', 'Product_8'),0.0394
('Product_3', 'Product_6'),0.0377
('Product_1', 'Product_6'),0.0371
('Product_18', 'Product_6'),0.0389
('Product_16', 'Product_7'),0.0400
('Product_11', 'Product_19'),0.0387
('Product_1', 'Product_9'),0.0405
('Product_3', 'Product_9'),0.0381
('Product_0', 'Product_1'),0.0387
('Product_17', 'Product_18'),0.0359
('Product_12', 'Product_16'),0.0401
('Product_14', 'Product_15'),0.0366
('Product_0', 'Product_15'),0.0413
('Product_10', 'Product_15'),0.0385
('Product_1', 'Product_12'),0.0405
('Product_19', 'Product_6'),0.0382
('Product_14', 'Product_17'),0.0398
('Product_0', 'Product_17'),0.0389
('Product_10', 'Product_17'),0.0408
('Product_11', 'Product_8'),0.0357
('Product_6', 'Product_7'),0.0402
('Product_19', 'Product_9'),0.0394
('Product_12', 'Product_3'),0.0397
('Product_10', 'Product_6'),0.0356
('Product_12', 'Product_6'),0.0409
('Product_15', 'Product_2'),0.0408
('Product_14', 'Product_9'),0.0396
('Product_10', 'Product_9'),0.0376
('Product_13', 'Product_2'),0.0413
('Product_0', 'Product_14'),0.0373
('Product_16', 'Product_18'),0.0420
('Product_0', 'Product_12'),0.0370
('Product_5', 'Product_7'),0.0383
('Product_10', 'Product_12'),0.0409
('Product_13', 'Product_15'),0.0413
('Product_11', 'Product_3'),0.0402
('Product_11', 'Product_17'),0.0361
('Product_1', 'Product_8'),0.0390
('Product_15', 'Product_4'),0.0398
('Product_17', 'Product_7'),0.0408
('Product_11', 'Product_6'),0.0404
('Product_12', 'Product_18'),0.0369
('Product_13', 'Product_17'),0.0373
('Product_11', 'Product_9'),0.0392
('Product_0', 'Product_19'),0.0362
('Product_1', 'Product_16'),0.0418
('Product_1', 'Product_7'),0.0369
('Product_3', 'Product_7'),0.0390
('Product_13', 'Product_9'),0.0378
('Product_18', 'Product_7'),0.0382
('Product_19', 'Product_8'),0.0388
('Product_11', 'Product_12'),0.0389
('Product_16', 'Product_5'),0.0420
('Product_1', 'Product_3'),0.0385
('Product_0', 'Product_8'),0.0418
('Product_10', 'Product_8'),0.0396
('Product_14', 'Product_8'),0.0409
('Product_1', 'Product_11'),0.0375
('Product_19', 'Product_7'),0.0364
('Product_4', 'Product_8'),0.0410
('Product_0', 'Product_16'),0.0400
('Product_14', 'Product_16'),0.0390
('Product_10', 'Product_16'),0.0414
('Product_10', 'Product_7'),0.0431
('Product_15', 'Product_19'),0.0393
('Product_13', 'Product_19'),0.0391
('Product_12', 'Product_7'),0.0374
('Product_19', 'Product_3'),0.0386
('Product_1', 'Product_10'),0.0379
('Product_0', 'Product_3'),0.0431
('Product_14', 'Product_3'),0.0412
('Product_10', 'Product_3'),0.0392
('Product_1', 'Product_18'),0.0417
('Product_10', 'Product_11'),0.0394
('Product_14', 'Product_6'),0.0388
('Product_0', 'Product_6'),0.0394
('Product_15', 'Product_8'),0.0384
('Product_13', 'Product_8'),0.0412
